id,giocatore,contratto_richiesto,squadra_richiedente,crediti_richiesti,messaggio,data,stato
52,351,Svincolato,CyberDucks,0,Serie b,2026-06-30 20:11:47.647699+00:00,accettata
51,33,Svincolato,CyberDucks,0,Taglio 2/3,2026-06-30 18:47:51.506186+00:00,accettata
50,377,Svincolato,CyberDucks,0,Taglio gratuito 1/3,2026-06-30 18:47:21.815151+00:00,accettata
49,508,Svincolato,Diaolo Porco,0,Retrocesso in serie B,2026-06-30 12:47:42.615431+00:00,accettata
48,328,Svincolato,Diaolo Porco,0,"Svincolo giocatore (1/1, quarto posto)",2026-06-29 22:09:40.428449+00:00,accettata
47,225,Svincolato,Diablitos FC,0,Andato in Turchia,2026-06-29 19:42:15.345384+00:00,accettata
45,516,Svincolato,Diablitos FC,7,Acquistato da Sassuolo,2026-06-29 19:36:21.489012+00:00,accettata
44,268,Hold,FC Sovescio,0,,2026-06-27 13:31:59.671060+00:00,rifiutata
72,76,Svincolato,ZeroDayz FC,0,Retrocesso in serie B,2026-07-01 19:26:32.663037+00:00,accettata
71,162,Svincolato,ZeroDayz FC,0,Retrocesso in serie B,2026-07-01 19:25:44.306951+00:00,rifiutata
70,207,Svincolato,ZeroDayz FC,0,Retrocesso in serie B,2026-07-01 19:25:10.607102+00:00,accettata
69,340,Svincolato,ZeroDayz FC,0,Rientro all'estero dal prestito in italia,2026-07-01 19:24:14.785393+00:00,accettata
68,376,Svincolato,ZeroDayz FC,0,Scadenza Contratto,2026-07-01 19:23:12.304084+00:00,accettata
67,47,Svincolato,ZeroDayz FC,0,Svincolo gratuito 2/2,2026-07-01 19:20:37.949588+00:00,accettata
66,158,Svincolato,ZeroDayz FC,0,svincolo gratuito 1/2,2026-07-01 19:20:02.708879+00:00,accettata
65,136,Hold,ZeroDayz FC,0,Hold,2026-07-01 19:19:29.586575+00:00,accettata
64,45,Hold,ZeroDayz FC,0,Hold,2026-07-01 19:19:00.340689+00:00,accettata
63,347,Svincolato,Diaolo Porco,0,Terminato il contratto con il Napoli,2026-07-01 18:38:10.786745+00:00,accettata
62,359,Svincolato,Sborada,0,retrocesso col pisa,2026-07-01 16:59:18.740146+00:00,accettata
46,402,Svincolato,Diablitos FC,0,Senza contratto,2026-06-29 19:38:24.142600+00:00,accettata
39,110,Svincolato,Al-Colizzati,0,,2026-02-05 12:52:09.106548+00:00,rifiutata
75,241,Hold,FC Sovescio,0,,2026-07-01 21:01:06.256980+00:00,accettata
74,261,Hold,FC Sovescio,0,,2026-07-01 21:00:35.150773+00:00,accettata
73,507,Svincolato,FC Sovescio,0,,2026-07-01 20:14:48.238596+00:00,accettata
82,422,Indeterminato,ZeroDayz FC,0,Rientro da Mainz,2026-07-01 21:46:28.830309+00:00,accettata
81,184,Indeterminato,ZeroDayz FC,0,Rientro da cyberducl,2026-07-01 21:43:26.055221+00:00,rifiutata
80,721,Indeterminato,ZeroDayz FC,0,Rientro a Napoli,2026-07-01 21:42:29.458899+00:00,accettata
79,26,Indeterminato,CyberDucks,0,,2026-07-01 21:41:46.963595+00:00,accettata
78,145,Indeterminato,CyberDucks,0,,2026-07-01 21:41:15.955876+00:00,rifiutata
77,782,Indeterminato,CyberDucks,0,,2026-07-01 21:40:39.038574+00:00,accettata
76,668,Svincolato,CyberDucks,0,Serie b,2026-07-01 21:36:21.844691+00:00,accettata
84,162,Svincolato,ZeroDayz FC,5,Al pisa,2026-07-01 22:12:44.594644+00:00,accettata
83,162,Svincolato,ZeroDayz FC,5,Al pisa,2026-07-01 22:12:41.653561+00:00,rifiutata
94,683,Svincolato,CyberDucks,0,Taglio gratuito 3/3,2026-07-02 21:47:57.895758+00:00,accettata
93,62,Hold,AC Ciaccati,0,,2026-07-02 20:31:44.143540+00:00,rifiutata
92,61,Hold,AC Ciaccati,0,,2026-07-02 20:31:24.980693+00:00,rifiutata
91,875,Hold,AC Ciaccati,0,,2026-07-02 20:30:56.514730+00:00,rifiutata
90,519,Hold,AC Ciaccati,0,,2026-07-02 20:30:25.882270+00:00,rifiutata
99,449,Hold,AC Ciaccati,0,,2026-07-02 22:31:17.086980+00:00,rifiutata
98,875,Hold,AC Ciaccati,0,,2026-07-02 22:31:00.346566+00:00,rifiutata
97,62,Hold,AC Ciaccati,0,,2026-07-02 22:30:32.925115+00:00,rifiutata
96,519,Hold,AC Ciaccati,0,,2026-07-02 22:29:56.495965+00:00,rifiutata
111,459,Svincolato,FC Pontos,57,Trasferimento al Chelsea,2026-07-02 23:28:36.982543+00:00,accettata
95,61,Svincolato,AC Ciaccati,0,Taglio gratuito a zero,2026-07-02 22:08:45.452521+00:00,rifiutata
105,449,Hold,AC Ciaccati,0,,2026-07-02 22:53:22.728492+00:00,accettata
104,188,Svincolato,AC Ciaccati,0,Taglio gratuito,2026-07-02 22:52:58.516822+00:00,accettata
103,519,Svincolato,AC Ciaccati,0,Fine contratto,2026-07-02 22:50:45.947084+00:00,accettata
102,61,Svincolato,AC Ciaccati,0,Fine prestito,2026-07-02 22:50:02.871110+00:00,accettata
101,875,Svincolato,AC Ciaccati,0,Fine prestito,2026-07-02 22:49:42.598293+00:00,accettata
100,62,Hold,AC Ciaccati,0,,2026-07-02 22:48:57.619900+00:00,accettata
89,178,Hold,CyberDucks,0,,2026-07-02 17:48:05.058254+00:00,accettata
85,433,Svincolato,Sborada,0,svincolato,2026-07-02 16:45:35.850615+00:00,accettata
87,342,Svincolato,Sborada,0,"utilizzo dello svincolo gratuito di questo subumano, grazie a dio il verona non l’ha acquistato",2026-07-02 17:04:44.056056+00:00,accettata
86,342,Svincolato,Sborada,0,"utilizzo dello svincolo gratuito di questo subumano, grazie a dio il verona non l’ha acquistato",2026-07-02 17:04:41.956383+00:00,rifiutata
88,583,Prestito Reale,Sborada,0,"ritorno dal prestito,che marcisca in grecia sto nano con la sindrome di napoleone",2026-07-02 17:11:34.419958+00:00,accettata
110,414,Hold,FC Pontos,0,,2026-07-02 23:27:49.057561+00:00,accettata
109,442,Hold,FC Pontos,0,,2026-07-02 23:27:31.223765+00:00,accettata
108,120,Hold,FC Pontos,0,,2026-07-02 23:26:39.553107+00:00,accettata
107,239,Hold,FC Pontos,0,,2026-07-02 23:26:18.993644+00:00,accettata
106,647,Svincolato,FC Pontos,6,Riscatto da parte del River. Si parla di 6 milioni,2026-07-02 23:24:36.280198+00:00,rifiutata
113,647,Svincolato,FC Pontos,1,Prestito al River Plate,2026-07-02 23:40:48.596897+00:00,rifiutata
112,394,Svincolato,FC Pontos,0,Taglio gratuito 2/2,2026-07-02 23:34:33.462310+00:00,rifiutata
114,394,Svincolato,FC Pontos,0,Taglio in quanto svincolato,2026-07-02 23:44:37.716204+00:00,accettata
115,647,Prestito Reale,FC Pontos,1,Prestito al River,2026-07-03 00:44:09.164850+00:00,accettata
116,524,Prestito Reale,Diablitos FC,1000,,2026-07-03 01:49:38.646399+00:00,rifiutata
130,428,Svincolato,Diaolo Porco,20,,2026-07-06 16:14:28.360038+00:00,accettata
131,643,Prestito Reale,CyberDucks,0,,2026-07-06 22:55:12.023553+00:00,accettata
38,30,Svincolato,Al-Colizzati,0,,2026-02-05 12:51:51.128951+00:00,rifiutata
37,486,Svincolato,Al-Colizzati,0,,2026-02-05 12:51:05.861134+00:00,rifiutata
40,486,Prestito Reale,Al-Colizzati,2,,2026-02-05 13:00:54.691371+00:00,accettata
42,30,Prestito Reale,Al-Colizzati,1,,2026-02-05 13:01:51.451645+00:00,accettata
41,110,Prestito Reale,Al-Colizzati,0,,2026-02-05 13:01:27.943081+00:00,accettata
122,109,Svincolato,Al-Colizzati,0,serie B,2026-07-03 16:14:42.452160+00:00,accettata
123,892,Svincolato,Al-Colizzati,0,rientrato al Bayern dopo il prestito,2026-07-03 16:16:05.224774+00:00,accettata
117,510,Svincolato,Al-Colizzati,0,Retrocesso in serie B,2026-07-03 16:08:06.043363+00:00,accettata
118,216,Svincolato,Al-Colizzati,0,Svincolato dalla Juve,2026-07-03 16:11:04.457472+00:00,accettata
119,179,Svincolato,Al-Colizzati,10,Riscattato dalla Fiorentina,2026-07-03 16:12:20.424969+00:00,accettata
120,110,Svincolato,Al-Colizzati,0,In serie B,2026-07-03 16:13:06.296964+00:00,accettata
121,97,Svincolato,Al-Colizzati,0,Ceduto a gennaio dal Genoa per 0 MLN,2026-07-03 16:14:03.997982+00:00,accettata
124,604,Svincolato,Al-Colizzati,15,Riscattato dal Besiktas per 15 MLN il 26/1,2026-07-03 16:17:42.982899+00:00,accettata
126,536,Svincolato,Al-Colizzati,12,Riscattato dal Como per 12 MLN,2026-07-03 16:19:55.039391+00:00,accettata
125,16,Svincolato,Al-Colizzati,0,serie B,2026-07-03 16:18:22.310187+00:00,accettata
128,297,Svincolato,Al-Colizzati,0,taglio gratuito 2/2,2026-07-03 16:23:43.221659+00:00,accettata
127,30,Svincolato,Al-Colizzati,0,Taglio gratuito 1/2,2026-07-03 16:23:05.590177+00:00,accettata
129,421,Hold,Al-Colizzati,0,,2026-07-03 16:27:20.074970+00:00,accettata
132,534,Prestito Reale,Diablitos FC,0,,2026-07-10 19:26:29.050185+00:00,accettata
134,45,Indeterminato,ZeroDayz FC,0,Daje roma,2026-07-13 14:14:12.410213+00:00,accettata
133,45,Indeterminato,ZeroDayz FC,0,Daje roma,2026-07-13 14:14:09.306050+00:00,rifiutata
135,781,Prestito Reale,Sborada,0,andato in prestito all’avellino in serie B. non ho trovato tante notizie a riguardo delle cifre del trasferimento ma penso sia gratuito,2026-07-14 02:07:48.588275+00:00,accettata
136,430,Prestito Reale,Metodo Monchi FC,0,Prestito allo Schalke,2026-07-17 17:41:11.750347+00:00,accettata
137,387,Svincolato,Sborada,40,trasferimento leeds,2026-07-17 19:18:45.861146+00:00,accettata
