id_giocatore,stato,note,data_inserimento
523,vendibile,,2026-08-08
450,vendibile,,2026-08-08
421,vendibile,,2026-08-08
350,vendibile,,2026-08-08
408,vendibile,,2026-08-08
242,vendibile,,2026-08-08
152,cedibile,,2026-08-18
262,vendibile,,2026-08-18
390,vendibile,,2026-08-09
199,cedibile,,2026-08-09
151,cedibile,,2026-08-09
317,cedibile,Comodo per chi ha dodo oppure jimenez,2026-08-12
427,cedibile,Solo per offerte irrinunciabili di cash o giocatori + cash,2026-08-12
209,prestabile,,2026-08-12
202,cedibile,M/C titolatissima tappabuchi (abbiamo troppa Udinese),2026-08-12
248,cedibile,Solo per offerte irrinunciabili cash o giocatore + cash,2026-08-12
213,cedibile,Scambio con una W/E,2026-08-09
263,cedibile,Scambio solamente con A/W top,2026-08-12
369,prestabile,,2026-08-09
133,vendibile,,2026-08-09
221,cedibile,Scambio con una W/E,2026-08-09
251,prestabile,,2026-08-09
53,cedibile,Possibile prestito per coprire chi ha Thuram o Lautaro (jolly),2026-08-09
83,cedibile,Possibile scambio con una Pc semi top + cash,2026-08-09
73,prestabile,,2026-08-09
522,cedibile,Probabilmente andrà al Monza,2026-08-09
358,cedibile,,2026-08-10
139,cedibile,,2026-08-09
131,cedibile,,2026-08-09
66,cedibile,,2026-08-09
525,cedibile,,2026-08-18
403,cedibile,,2026-08-18
437,cedibile,,2026-08-18
395,cedibile,,2026-08-09
173,cedibile,,2026-08-18
228,cedibile,,2026-08-10
222,cedibile,,2026-08-10
190,cedibile,,2026-08-09
148,cedibile,,2026-08-10
126,cedibile,,2026-08-18
237,cedibile,,2026-08-09
540,cedibile,,2026-08-10
520,cedibile,,2026-08-09
337,cedibile,,2026-08-09
155,cedibile,,2026-08-09
49,cedibile,,2026-08-09
45,cedibile,,2026-08-09
