id,giocatore,squadra_vincente,ultima_offerta,tempo_fine_asta,tempo_fine_mostra_interesse,stato,partecipanti,gia_elaborata,data_inizio_asta
14,218,Metodo Monchi FC,1.0,2026-01-29 19:38:00.020822+00:00,,conclusa,['Metodo Monchi FC'],True,2026-01-28 18:37:39.736509
21,173,Diaolo Porco,2.0,2026-02-06 10:15:19.734698+00:00,,conclusa,['Diaolo Porco'],True,2026-02-03 20:45:49.969083
28,362,Diablitos FC,1.0,2026-02-11 21:32:00.021965+00:00,,conclusa,['Diablitos FC'],True,2026-02-10 12:45:49.739434
15,878,Sborada,1.0,2026-01-29 22:27:00.019710+00:00,,conclusa,['Sborada'],True,2026-01-28 21:26:59.620784
22,340,ZeroDayz FC,1.0,2026-02-06 12:26:00.019316+00:00,,conclusa,['ZeroDayz FC'],True,2026-02-04 11:25:37.692567
29,888,Sborada,1.0,2026-02-14 21:33:00.024143+00:00,,conclusa,['Sborada'],True,2026-02-13 20:32:11.927851
24,56,FC Pontos,14.0,2026-02-07 22:47:42.979776+00:00,,conclusa,['FC Pontos'],True,2026-02-04 21:56:48.023653
30,875,AC Ciaccati,1.0,2026-02-24 17:57:00.019358+00:00,,conclusa,['AC Ciaccati'],True,2026-02-23 16:56:35.506138
51,954,ZeroDayz FC,18.0,2026-08-18 20:55:00.299103+00:00,,conclusa,"['AC Ciaccati', 'ZeroDayz FC']",True,2026-08-11 17:44:53.729682
32,890,AC Ciaccati,1.0,2026-03-04 07:22:00.024994+00:00,,conclusa,['AC Ciaccati'],True,2026-03-03 06:21:31.147436
10,225,Diablitos FC,6.0,2026-01-28 12:18:41.143087+00:00,,conclusa,"['Metodo Monchi FC', 'Diablitos FC', 'FC Pontos']",True,2026-01-26 10:59:58.827449
45,960,Al-Colizzati,1.0,2026-08-10 18:39:00.083910+00:00,,conclusa,['Al-Colizzati'],True,2026-08-09 16:38:16.003585
31,365,FC Pontos,1.0,2026-03-04 22:24:00.170496+00:00,,conclusa,"['FC Pontos', 'Diablitos FC']",True,2026-03-02 21:22:58.462517
11,514,FC Sovescio,1.0,2026-01-28 12:29:00.021865+00:00,,conclusa,['FC Sovescio'],True,2026-01-27 11:28:26.534341
13,80,AC Ciaccati,12.0,2026-02-03 13:37:23.531114+00:00,,conclusa,"['AC Ciaccati', 'Sborada']",True,2026-01-27 13:50:52.870080
8,731,CyberDucks,19.0,2026-01-22 12:49:35.313850+00:00,,conclusa,"['AC Ciaccati', 'CyberDucks', 'FC Pontos', 'Metodo Monchi FC']",True,2026-01-16 10:06:02.206659
9,872,Sborada,66.0,2026-01-22 12:57:28.814069+00:00,,conclusa,"['Diaolo Porco', 'AC Ciaccati', 'FC Pontos', 'Metodo Monchi FC', 'Sborada', 'ZeroDayz FC']",True,2026-01-16 05:40:02.206659
17,367,FC Pontos,5.0,2026-02-05 22:46:45.698083+00:00,,conclusa,"['Diablitos FC', 'FC Pontos', 'ZeroDayz FC']",True,2026-02-02 23:42:51.779826
20,893,FC Pontos,2.0,2026-02-05 22:48:37.076255+00:00,,conclusa,"['AC Ciaccati', 'FC Pontos']",True,2026-02-03 06:03:03.545790
48,964,Al-Colizzati,4.0,2026-08-12 16:55:00.082090+00:00,,conclusa,['Al-Colizzati'],True,2026-08-09 16:40:42.907295
19,19,Sborada,4.0,2026-02-05 22:52:54.844651+00:00,,conclusa,['Sborada'],True,2026-02-03 06:02:03.381613
1,234,Diaolo Porco,36.0,2026-01-17 16:12:59.303281+00:00,,conclusa,['Diaolo Porco'],True,2026-01-12 12:18:02.206659
16,90,FC Sovescio,2.0,2026-01-31 13:39:08.403458+00:00,,conclusa,"['AC Ciaccati', 'FC Sovescio']",True,2026-01-29 12:26:02.380008
34,163,Metodo Monchi FC,1.0,2026-03-19 18:42:00.071172+00:00,,conclusa,['Metodo Monchi FC'],True,2026-03-18 17:41:46.475920
12,79,Diablitos FC,10.0,2026-02-01 17:30:36.897990+00:00,,conclusa,"['AC Ciaccati', 'Diablitos FC', 'Diaolo Porco', 'ZeroDayz FC']",True,2026-01-27 13:50:32.762144
18,442,FC Pontos,6.0,2026-02-07 10:57:52.534430+00:00,,conclusa,['FC Pontos'],True,2026-02-02 23:43:10.913700
37,908,Metodo Monchi FC,111.0,2026-07-22 15:22:00.049007+00:00,,conclusa,"['Metodo Monchi FC', 'CyberDucks', 'FC Pontos', 'FC Sovescio', 'Sborada', 'ZeroDayz FC']",True,2026-07-17 15:53:18.917129
25,105,Sborada,5.0,2026-02-08 21:52:00.024308+00:00,,conclusa,"['Sborada', 'FC Pontos']",True,2026-02-05 11:29:03.236075
26,478,Al-Colizzati,1.0,2026-02-06 16:41:00.020238+00:00,,conclusa,['Baby Reijnders'],True,2026-02-05 15:40:51.396059
27,583,Sborada,4.0,2026-02-09 12:32:00.023714+00:00,,conclusa,"['AC Ciaccati', 'FC Pontos', 'Sborada']",True,2026-02-06 06:22:56.119079
23,892,Al-Colizzati,10.0,2026-02-06 16:41:08.555999+00:00,,conclusa,"['AC Ciaccati', 'Baby Reijnders']",True,2026-02-04 14:51:36.541798
33,512,Al-Colizzati,1.0,2026-03-10 17:35:00.020316+00:00,,conclusa,['Baby Reijnders'],True,2026-03-09 16:34:44.995441
35,881,Al-Colizzati,1.0,2026-03-21 12:11:00.069777+00:00,,conclusa,['Baby Reijnders'],True,2026-03-20 11:10:26.291597
41,911,Sborada,42.0,2026-08-09 12:11:00.356240+00:00,,conclusa,"['Al-Colizzati', 'Diaolo Porco', 'FC Pontos', 'Sborada', 'ZeroDayz FC']",True,2026-08-03 21:47:52.103194
39,41,Al-Colizzati,1.0,2026-08-04 13:40:00.046910+00:00,,conclusa,['Al-Colizzati'],True,2026-08-03 11:39:09.552768
40,953,FC Pontos,30.0,2026-08-09 08:54:00.124952+00:00,,conclusa,"['Sborada', 'Al-Colizzati', 'FC Pontos', 'ZeroDayz FC']",True,2026-08-03 14:48:06.567796
38,795,Diablitos FC,133.0,2026-08-07 15:49:00.058848+00:00,,conclusa,"['FC Sovescio', 'AC Ciaccati', 'Al-Colizzati', 'Diablitos FC', 'Metodo Monchi FC']",True,2026-08-02 19:38:38.279801
43,808,Al-Colizzati,3.0,2026-08-10 11:15:00.097714+00:00,,conclusa,"['Al-Colizzati', 'AC Ciaccati']",True,2026-08-06 19:12:49.981611
42,947,ZeroDayz FC,22.0,2026-08-14 00:35:00.070913+00:00,,conclusa,"['FC Sovescio', 'Al-Colizzati', 'Diaolo Porco', 'ZeroDayz FC']",True,2026-08-06 16:57:41.729723
44,990,Diablitos FC,31.0,2026-08-16 12:11:00.064172+00:00,,conclusa,"['Diablitos FC', 'AC Ciaccati', 'Al-Colizzati']",True,2026-08-06 22:07:00.402155
47,754,Sborada,1.0,2026-08-10 18:40:00.041137+00:00,,conclusa,['Sborada'],True,2026-08-09 16:39:58.487073
46,948,Sborada,15.0,2026-08-13 23:21:00.050000+00:00,,conclusa,"['Sborada', 'AC Ciaccati', 'ZeroDayz FC']",True,2026-08-09 16:39:46.721869
49,993,Diaolo Porco,33.0,2026-08-17 23:08:00.064548+00:00,,conclusa,"['Diaolo Porco', 'Metodo Monchi FC', 'ZeroDayz FC']",True,2026-08-10 11:50:35.915688
52,986,Sborada,1.0,2026-08-12 21:13:00.040254+00:00,,conclusa,['Sborada'],True,2026-08-11 19:12:44.567996
54,516,Diaolo Porco,1.0,2026-08-14 11:46:00.063746+00:00,,conclusa,['Diaolo Porco'],True,2026-08-13 09:45:34.775454
53,998,Diaolo Porco,37.0,2026-08-18 00:09:00.083457+00:00,,conclusa,"['AC Ciaccati', 'Diaolo Porco', 'FC Pontos', 'Metodo Monchi FC', 'Sborada']",True,2026-08-12 13:49:36.523475
56,923,Sborada,1.0,2026-08-18 00:11:00.064019+00:00,,conclusa,"['Sborada', 'AC Ciaccati']",True,2026-08-15 22:09:28.379760
55,1002,FC Pontos,63.0,2026-08-19 13:33:00.071603+00:00,,conclusa,['FC Pontos'],True,2026-08-15 18:10:17.121468
50,354,ZeroDayz FC,4.0,2026-08-16 09:49:00.077881+00:00,,conclusa,"['Diaolo Porco', 'ZeroDayz FC']",True,2026-08-11 15:36:27.208478
58,1005,CyberDucks,129.0,2026-08-21 20:16:00.063112+00:00,,conclusa,['CyberDucks'],True,2026-08-18 15:56:36.351339
61,942,FC Pontos,1.0,2026-08-21 19:56:00.178986+00:00,,conclusa,['FC Pontos'],True,2026-08-20 17:55:01.809071
64,945,Diablitos FC,1.0,2026-08-24 23:57:00.059324+00:00,,conclusa,['Diablitos FC'],True,2026-08-23 21:56:00.629216
66,946,CyberDucks,1.0,2026-08-25 10:20:00.064756+00:00,,conclusa,['CyberDucks'],True,2026-08-24 08:19:43.447099
62,1015,Metodo Monchi FC,37.0,2026-08-26 12:05:00.068864+00:00,,conclusa,"['Sborada', 'Diablitos FC', 'Diaolo Porco', 'FC Pontos', 'FC Sovescio', 'Metodo Monchi FC', 'ZeroDayz FC']",True,2026-08-22 05:37:56.042014
57,950,Al-Colizzati,1.0,2026-08-19 19:01:00.275241+00:00,,conclusa,"['Al-Colizzati', 'AC Ciaccati', 'FC Pontos']",True,2026-08-17 17:00:24.630950
59,876,FC Sovescio,9.0,2026-08-22 08:02:00.073160+00:00,,conclusa,"['FC Sovescio', 'AC Ciaccati', 'Diablitos FC', 'Diaolo Porco']",True,2026-08-18 19:50:44.468116
63,682,AC Ciaccati,10.0,2026-08-30 08:37:00.075869+00:00,,conclusa,"['Diaolo Porco', 'AC Ciaccati', 'Diablitos FC']",True,2026-08-22 13:30:35.458085
60,1010,FC Pontos,91.0,2026-08-23 14:46:00.061716+00:00,,conclusa,"['AC Ciaccati', 'Diablitos FC', 'FC Pontos', 'Metodo Monchi FC']",True,2026-08-20 07:29:38.783851
69,1033,Diaolo Porco,,,2026-08-31 06:47:06.330312+00:00,mostra_interesse,"['Diaolo Porco', 'AC Ciaccati', 'FC Pontos', 'Metodo Monchi FC']",False,2026-08-30 04:47:06.330312
67,235,FC Sovescio,5.0,2026-08-30 19:11:47.550443+00:00,,in_corso,"['FC Sovescio', 'Al-Colizzati']",False,2026-08-26 20:53:59.137925
68,1034,Diaolo Porco,,,2026-08-31 06:46:49.185256+00:00,mostra_interesse,"['Diaolo Porco', 'AC Ciaccati', 'FC Sovescio']",False,2026-08-30 04:46:49.185256
65,949,CyberDucks,1.0,2026-08-26 10:21:00.054301+00:00,,conclusa,"['CyberDucks', 'ZeroDayz FC']",True,2026-08-24 08:19:34.568838
