id,giocatore,squadra_prestante,squadra_ricevente,stato,data_inizio,data_fine,richiedente_terminazione,note,costo_prestito,tipo_prestito,crediti_riscatto
4,215,Diablitos FC,AC Ciaccati,rifiutato,2026-01-29 22:58:23.489259+00:00,2026-07-02 23:59:59+00:00,,,1.0,diritto_di_riscatto,20.0
1,416,Sborada,Metodo Monchi FC,annullato,2026-01-22 16:01:25.180578+00:00,2026-06-30 12:00:00+00:00,,,,secco,
15,434,Metodo Monchi FC,Diablitos FC,terminato,2025-09-02 18:16:11.551559+00:00,2026-06-02 19:51:26.281170+00:00,,,,obbligo_di_riscatto,3.0
3,416,Sborada,Metodo Monchi FC,terminato,2026-01-25 11:31:57.764746+00:00,2026-06-30 18:29:54.958145+00:00,,,2.0,diritto_di_riscatto,4.0
7,307,Diablitos FC,Metodo Monchi FC,terminato,2025-09-02 18:16:11.551559+00:00,2026-06-30 18:30:12.091764+00:00,,,,obbligo_di_riscatto,3.0
10,301,Diaolo Porco,Sborada,richiesta_di_terminazione,2025-09-01 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,Sborada,,,secco,
5,131,AC Ciaccati,FC Sovescio,terminato,2025-08-25 18:16:11.551559+00:00,2026-07-01 20:46:42.759998+00:00,,Costo prestito: 20cr (già scalati ad inizio anno),,obbligo_di_riscatto,5.0
18,397,Metodo Monchi FC,Diablitos FC,annullato,2026-08-11 17:34:06.095000+00:00,2027-07-01 23:59:59+00:00,,,0.0,secco,0.0
19,795,Diablitos FC,Metodo Monchi FC,annullato,2026-08-11 17:36:59.309036+00:00,2027-07-01 23:59:59+00:00,,,1.0,secco,0.0
21,845,AC Ciaccati,Diaolo Porco,annullato,2026-08-11 20:55:13.707777+00:00,2027-07-01 23:59:59+00:00,,,0.0,diritto_di_riscatto,30.0
20,210,Diaolo Porco,AC Ciaccati,in_corso,2026-08-11 20:41:01.835750+00:00,2027-07-01 23:59:59+00:00,,Scambio del cartellino di Tiago Gabriel x 18 crediti + cartellino di Politano con aggiunta del prestito oneroso con diritto di riscatto di douglas luiz di 5 crediti con diritto fissato a 30 crediti dove se non raggiunge il voto nel 75% delle partite (28 totali) restituiamo i 5 crediti per prestito con diritto di riscatto di’ caqueret fissato a 15,0.0,diritto_di_riscatto,15.0
22,845,AC Ciaccati,Diaolo Porco,in_corso,2026-08-11 21:20:10.689001+00:00,2027-07-01 23:59:59+00:00,,"Se il giocatore non supera il 75% delle presenze, il costo del prestito (5 crediti) viene rimborsato",5.0,diritto_di_riscatto,30.0
23,731,CyberDucks,AC Ciaccati,in_corso,2026-08-20 13:40:21.567898+00:00,2027-07-01 23:59:59+00:00,,Ecco a voi un po’ di crediti così rilanciate per vicario che non si sa mai💪🏼💪🏼,10.0,diritto_di_riscatto,17.0
6,145,CyberDucks,ZeroDayz FC,terminato,2025-08-17 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,,,secco,
8,171,Diablitos FC,FC Pontos,terminato,2025-08-30 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,,,secco,
11,461,Diaolo Porco,Sborada,terminato,2025-09-01 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,,,secco,
12,394,FC Pontos,Diablitos FC,terminato,2025-08-30 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,,,secco,
2,152,Metodo Monchi FC,FC Sovescio,terminato,2026-01-22 18:16:11.551559+00:00,2026-06-30 12:00:00+00:00,,,,secco,
14,407,Metodo Monchi FC,CyberDucks,terminato,2025-09-02 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,,,secco,
16,222,Sborada,Diaolo Porco,terminato,2025-09-01 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,,,secco,
17,184,ZeroDayz FC,CyberDucks,terminato,2025-08-17 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,,,secco,
9,330,Diablitos FC,FC Pontos,terminato,2025-08-11 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,"- Costo prestito: 9cr (già scalati ad inizio anno)
- In caso di riscatto, la stagione successiva, Pontos FC dovrà pagare ulteriori 15cr a Diablitos FC",,diritto_di_riscatto,20.0
13,348,Metodo Monchi FC,ZeroDayz FC,terminato,2025-08-23 18:16:11.551559+00:00,2026-07-02 23:59:59+00:00,,,,diritto_di_riscatto,2.0
