id,giocatore,squadra_vincente,ultima_offerta,tempo_fine_asta,tempo_fine_mostra_interesse,stato,partecipanti,gia_elaborata,data_inizio_asta
14,218,Metodo Monchi FC,1,2026-01-29 19:38:00.020822+00:00,,conclusa,['Metodo Monchi FC'],True,2026-01-28 18:37:39.736509
15,878,Sborada,1,2026-01-29 22:27:00.019710+00:00,,conclusa,['Sborada'],True,2026-01-28 21:26:59.620784
1,234,Diaolo Porco,36,2026-01-17 16:12:59.303281+00:00,,conclusa,['Diaolo Porco'],True,2026-01-21 12:18:02.206659
10,225,Diablitos FC,6,2026-01-28 12:18:41.143087+00:00,,conclusa,"['Metodo Monchi FC', 'Diablitos FC', 'FC Pontos']",True,2026-01-26 10:59:58.827449
11,514,FC Sovescio,1,2026-01-28 12:29:00.021865+00:00,,conclusa,['FC Sovescio'],True,2026-01-27 11:28:26.534341
8,731,CyberDucks,19,2026-01-22 12:49:35.313850+00:00,,conclusa,"['AC Ciaccati', 'CyberDucks', 'FC Pontos', 'Metodo Monchi FC']",True,2026-01-16 10:06:02.206659
9,872,Sborada,66,2026-01-22 12:57:28.814069+00:00,,conclusa,"['Diaolo Porco', 'AC Ciaccati', 'FC Pontos', 'Metodo Monchi FC', 'Sborada', 'ZeroDayz FC']",True,2026-01-16 05:40:02.206659
12,79,Diablitos FC,8,2026-01-31 11:25:31.392804+00:00,,in_corso,"['AC Ciaccati', 'Diablitos FC', 'Diaolo Porco', 'ZeroDayz FC']",False,2026-01-27 13:50:32.762144
16,90,FC Sovescio,2,2026-01-31 13:39:08.403458+00:00,,in_corso,"['AC Ciaccati', 'FC Sovescio']",False,2026-01-29 12:26:02.380008
13,80,AC Ciaccati,8,2026-02-01 00:56:50.597642+00:00,,in_corso,"['AC Ciaccati', 'Sborada']",False,2026-01-27 13:50:52.870080
